Device_Index,Year,DOI,SP_Mw (kg/mol),SP_Mn (kg/mol),SP_PDI,Solvent_1,Solvent_1_BP (C),Solvent_2,Solvent_2_BP (C),Solvent_VF1 (%),SP_Concentration (g/L),Insulating_Matrix,IM_Concentration (mg/ml),IM_MW (kg/mol),IM_PDI,SP_Blend (wt%),Solution_Processing_Environment,Substrate_Type,Dielectric_Material_1,Dielectric_Material_1_Thickness (nm),Dielectric_Material_2,Dielectric_Material_2_Thickness (nm),Source/Drain_Electrode_Material,Chanel_Width (μm),Chanel_Length (μm),Capacitance_Per_Unit_Area (nF/cm2),Substrate_Treatment,Deposition_Type,Spin_Rate (rpm),Spin_Time (s),Blade_Speed (mm/s),Blade_Height (um),Blade_Angle (degrees),Channel_Orientation_WRT_Coating_Direction,Stage_Temperature (C),Anneal_Temperature (C),Anneal_Time (hr),Annealing Environment,Deposition_Environment,OFET_Configuration,OFET_Regime,Film_Thickness (nm),Average_OFET_Hole_Mobility (cm2/Vs),STDEV_OFET_Hole Mobility (cm2/Vs),Average_OFET_Electron_Mobility (cm2/Vs),STDEV_OFET_Electron_Mobility (cm2/Vs),Vth_Hole (V),Vth_Electron (V),Ion/Ioff,Mobility_Charaterization_Environment,SS (V/Decade),Transfer_Curve _Vds,Transfer_Curve_Vg_min (V),Transfer_Curve_Vg_max (V),Output Curve_Vg_min (V),Output_Curve _Vg_max (V),Output_Curve_Vd_min (V),Output_Curve_Vd_max (V)
41,2020,10.1016/j.cplett.2020.137507 ,91,29,3.14,CHCL3,61.2,NaN,NaN,100,6.5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,Si3N4,NaN,NaN,NaN,Au,3000,120,15,Untreated,Spin-Coating,1000,120,NaN,NaN,NaN,NaN,NaN,65,NaN,Nitrogen,Ambient,BGBC,Saturation,50,8.50E-04,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,-60,-80,0,-80,0,-80,0
42,2020,10.1016/j.cplett.2020.137507 ,91,29,3.14,CHCL3,61.2,NaN,NaN,100,6.5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,Si3N4,NaN,NaN,NaN,Au,3000,120,15,Untreated,Spin-Coating,1000,120,NaN,NaN,NaN,NaN,NaN,100,NaN,Nitrogen,Ambient,BGBC,Saturation,50,3.50E-03,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,-60,-80,0,-80,0,-80,0
43,2020,10.1016/j.cplett.2020.137507 ,91,29,3.14,CHCL3,61.2,NaN,NaN,100,6.5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,Si3N4,NaN,NaN,NaN,Au,3000,120,15,Untreated,Spin-Coating,1000,120,NaN,NaN,NaN,NaN,NaN,150,NaN,Nitrogen,Ambient,BGBC,Saturation,50,5.70E-04,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,-60,-80,0,-80,0,-80,0
44,2020,10.1016/j.cplett.2020.137507 ,91,29,3.14,CHCL3,61.2,NaN,NaN,100,6.5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,Si3N4,NaN,NaN,NaN,Au,3000,120,15,Untreated,Spin-Coating,1000,120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,Ambient,BGBC,Linear,50,9.50E-05,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,-10,-80,0,-80,0,-80,0
45,2020,10.1016/j.cplett.2020.137507 ,91,29,3.14,CHCL3,61.2,NaN,NaN,100,6.5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,Si3N4,NaN,NaN,NaN,Au,3000,120,15,Untreated,Spin-Coating,1000,120,NaN,NaN,NaN,NaN,NaN,65,NaN,Nitrogen,Ambient,BGBC,Linear,50,2.00E-04,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,-10,-80,0,-80,0,-80,0
46,2020,10.1016/j.cplett.2020.137507 ,91,29,3.14,CHCL3,61.2,NaN,NaN,100,6.5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,Si3N4,NaN,NaN,NaN,Au,3000,120,15,Untreated,Spin-Coating,1000,120,NaN,NaN,NaN,NaN,NaN,100,NaN,Nitrogen,Ambient,BGBC,Linear,50,1.02E-03,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,-10,-80,0,-80,0,-80,0
47,2020,10.1016/j.cplett.2020.137507 ,91,29,3.14,CHCL3,61.2,NaN,NaN,100,6.5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,Si3N4,NaN,NaN,NaN,Au,3000,120,15,Untreated,Spin-Coating,1000,120,NaN,NaN,NaN,NaN,NaN,150,NaN,Nitrogen,Ambient,BGBC,Linear,50,3.65E-04,NaN,NaN,NaN,NaN,NaN,NaN,Ambient,NaN,-10,-80,0,-80,0,-80,0
48,2020,10.1021/acs.chemmater.0c02199 ,290,143,2.03,C6H4CL2,180,NaN,NaN,100,3,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,220,NaN,NaN,Ag,1000,30,7.3,OTS-18,Spin-Coating,2000,240,NaN,NaN,NaN,NaN,NaN,25,1,Ambient,Ambient,BGTC,Saturation,20,0.0484,0.02,0.104,0.024,-15.5,14,NaN,Nitrogen,NaN,-30,-30,0,-20,0,-30,0
49,2020,10.1021/acs.chemmater.0c02199 ,290,143,2.03,C6H4CL2,180,NaN,NaN,100,3,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,220,NaN,NaN,Ag,1000,30,7.3,OTS-18,Spin-Coating,800,240,NaN,NaN,NaN,NaN,NaN,25,1,Ambient,Ambient,BGTC,Saturation,30,0.1812,0.03,0.0716,0.02,-13,15.2,NaN,Nitrogen,NaN,-30,-30,0,-20,0,-30,0
50,2020,10.1021/acs.chemmater.0c02199 ,290,143,2.03,C6H4CL2,180,NaN,NaN,100,7,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,220,NaN,NaN,Ag,1000,30,7.3,OTS-18,Spin-Coating,2000,240,NaN,NaN,NaN,NaN,NaN,25,1,Ambient,Ambient,BGTC,Saturation,60,0.0901,0.013,0.0206,0.013,-12.4,14.07,NaN,Nitrogen,NaN,-30,-30,0,-20,0,-30,0
51,2020,10.1021/acs.chemmater.0c02199 ,290,143,2.03,C6H4CL2,180,NaN,NaN,100,7,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,220,NaN,NaN,Ag,1000,30,7.3,OTS-18,Spin-Coating,800,240,NaN,NaN,NaN,NaN,NaN,25,1,Ambient,Ambient,BGTC,Saturation,100,0.0641,0.012,0.0099,0.003,-12.9,15,NaN,Nitrogen,NaN,-30,-30,0,-20,0,-30,0
52,2018,10.1016/j.spmi.2018.12.022 ,100,67,3,CHCL3,61.2,NaN,NaN,100,6.5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,Si3N4,400,PMMA,NaN,Au/MoO3,3000,120,10,Untreated,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,100,0.33,Nitrogen,Ambient,BGTC,Saturation,NaN,0.2,0.02,NaN,NaN,-15,NaN,1.00E+07,Ambient,NaN,-80,-100,0,-100,-30,-80,0
53,2019,10.1039/c8sm02517g ,279,77,3.65,CHCL3,61.2,NaN,NaN,100,1.6,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,200,NaN,NaN,Au/Cr,1000,100,NaN,DTS,Spin-Coating,1500,30,NaN,NaN,NaN,NaN,NaN,25,NaN,Nitrogen,Ambient,BGBC,Saturation,NaN,0.7,0.1,NaN,NaN,NaN,NaN,100,Nitrogen,NaN,NaN,-20,10,-60,0,-60,0
54,2019,10.1039/c8sm02517g ,279,77,3.65,CHCL3,61.2,CH3OH,64.7,85,1.6,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,200,NaN,NaN,Au/Cr,1000,100,NaN,DTS,Spin-Coating,1500,30,NaN,NaN,NaN,NaN,NaN,25,NaN,Nitrogen,Ambient,BGBC,Saturation,NaN,3,2,NaN,NaN,NaN,NaN,1000,Nitrogen,NaN,NaN,-20,10,-60,0,-60,0
55,2020,10.1002/adfm.201909787,102,43,2,CHCL3,61.2,NaN,NaN,100,0.5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Ag/MoO3,800,40,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,8,Parallel,25,25,NaN,NaN,Ambient,BGTC,Saturation,3.5,1.00E-04,4.00E-03,NaN,NaN,-35,NaN,100,Nitrogen,NaN,NaN,-100,20,-100,-40,-100,0
56,2020,10.1002/adfm.201909787,102,43,2,CHCL3,61.2,NaN,NaN,100,0.75,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Ag/MoO3,800,40,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,8,Parallel,25,25,NaN,NaN,Ambient,BGTC,Saturation,7.5,1.00E-02,0.992,NaN,NaN,-25,NaN,1000,Nitrogen,NaN,NaN,-100,20,-100,-40,-100,0
57,2020,10.1002/adfm.201909787,102,43,2,CHCL3,61.2,NaN,NaN,100,1,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Ag/MoO3,800,40,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,8,Parallel,25,25,NaN,NaN,Ambient,BGTC,Saturation,13,5.00E-02,2.00E-01,NaN,NaN,-22.5,NaN,10000,Nitrogen,NaN,NaN,-100,20,-100,-40,-100,0
58,2020,10.1002/adfm.201909787,102,43,2,CHCL3,61.2,NaN,NaN,100,2,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Ag/MoO3,800,40,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,8,Parallel,25,25,NaN,NaN,Ambient,BGTC,Saturation,27,1.00E-01,2.00E-01,NaN,NaN,-15,NaN,1.00E+06,Nitrogen,NaN,NaN,-100,20,-100,-40,-100,0
59,2020,10.1002/adfm.201909787,102,43,2,CHCL3,61.2,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Ag/MoO3,800,40,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,8,Parallel,25,25,NaN,NaN,Ambient,BGTC,Saturation,42,6.00E-01,2.00E-01,NaN,NaN,-5,NaN,1.00E+05,Nitrogen,NaN,NaN,-100,20,-100,-40,-100,0
60,2020,10.1002/adfm.201909787,102,43,2,CHCL3,61.2,NaN,NaN,100,0.5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Ag/MoO3,800,40,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,8,Perpendicular,25,25,NaN,NaN,Ambient,BGTC,Saturation,3.5,8.00E-04,4.00E-03,NaN,NaN,-35,NaN,1.00E+02,Nitrogen,NaN,NaN,-100,20,-100,-40,-100,0
61,2020,10.1002/adfm.201909787,102,43,2,CHCL3,61.2,NaN,NaN,100,0.75,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Ag/MoO3,800,40,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,8,Perpendicular,25,25,NaN,NaN,Ambient,BGTC,Saturation,7.5,6.00E-02,9.92E-01,NaN,NaN,-25,NaN,1.00E+03,Nitrogen,NaN,NaN,-100,20,-100,-40,-100,0
62,2020,10.1002/adfm.201909787,102,43,2,CHCL3,61.2,NaN,NaN,100,1,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Ag/MoO3,800,40,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,8,Perpendicular,25,25,NaN,NaN,Ambient,BGTC,Saturation,13,2.00E-01,2.00E-01,NaN,NaN,-22.5,NaN,1.00E+04,Nitrogen,NaN,NaN,-100,20,-100,-40,-100,0
63,2020,10.1002/adfm.201909787,102,43,2,CHCL3,61.2,NaN,NaN,100,2,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Ag/MoO3,800,40,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,8,Perpendicular,25,25,NaN,NaN,Ambient,BGTC,Saturation,27,8.00E-01,2.00E-01,NaN,NaN,-15,NaN,1.00E+06,Nitrogen,NaN,NaN,-100,20,-100,-40,-100,0
64,2020,10.1002/adfm.201909787,102,43,2,CHCL3,61.2,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Ag/MoO3,800,40,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,8,Perpendicular,25,25,NaN,NaN,Ambient,BGTC,Saturation,42,5.00E-01,2.00E-01,NaN,NaN,-5,NaN,1.00E+05,Nitrogen,NaN,NaN,-100,20,-100,-40,-100,0
65,2020,10.1063/1.5135977 ,250,NaN,NaN,C6H4CL2,180,NaN,NaN,100,2,NaN,NaN,NaN,NaN,100,Ambient,Glass,6FDA-DABC,143,NaN,NaN,Au,1000,50,0.196,Untreated,Spin-Coating,3000,60,NaN,NaN,NaN,NaN,NaN,100,1,Ambient,Ambient,BGTC,Saturation,NaN,1.10E-01,2.00E-02,NaN,NaN,0.08,NaN,2.82E+05,Ambient,0.81,-10,-10,5,NaN,NaN,-10,0
66,2020,10.1063/1.5135977 ,250,NaN,NaN,C6H4CL2,180,NaN,NaN,100,2,PS,1.4,280,NaN,NaN,Ambient,Glass,6FDA-DABC,143,NaN,NaN,Au,1000,50,0.196,Untreated,Spin-Coating,3000,60,NaN,NaN,NaN,NaN,NaN,100,1,Ambient,Ambient,BGTC,Saturation,NaN,3.00E-01,2.00E-02,NaN,NaN,-0.17,NaN,4.46E+05,Ambient,0.59,-10,-10,5,NaN,NaN,-10,0
67,2020,10.1063/1.5135977,250,NaN,NaN,C6H4CL2,180,NaN,NaN,100,2,PS,1.4,280,NaN,NaN,Ambient,Glass,6FDA-DABC,77,NaN,NaN,Au,1000,50,0.354,Untreated,Spin-Coating,3000,60,NaN,NaN,NaN,NaN,NaN,25,1,Nitrogen,Ambient,BGTC,Saturation,NaN,1.00E-01,1.00E-02,NaN,NaN,-0.8,NaN,2.32E+05,Ambient,0.44,-5,-5,1,NaN,NaN,-5,0
68,2020,10.1063/1.5135977,250,NaN,NaN,C6H4CL2,180,NaN,NaN,100,2,PS,1.4,280,NaN,NaN,Ambient,Glass,6FDA-DABC,77,NaN,NaN,Au,1000,50,0.354,Untreated,Spin-Coating,3000,60,NaN,NaN,NaN,NaN,NaN,100,1,Ambient,Ambient,BGTC,Saturation,NaN,1.10E-01,1.00E-02,NaN,NaN,-0.8,NaN,1.63E+05,Ambient,0.64,-5,-5,1,NaN,NaN,-5,0
69,2020,10.1063/1.5135977,250,NaN,NaN,C6H4CL2,180,NaN,NaN,100,2,PS,1.4,280,NaN,NaN,Ambient,Glass,6FDA-DABC,77,NaN,NaN,Au,1000,50,0.354,Untreated,Spin-Coating,3000,60,NaN,NaN,NaN,NaN,NaN,25,1,Nitrogen,Ambient,BGTC,Linear,NaN,2.00E-02,NaN,NaN,NaN,-0.54,NaN,1.73E+04,Ambient,0.15,-0.5,-5,1,NaN,NaN,-5,0
70,2020,10.1063/1.5135977,250,NaN,NaN,C6H4CL2,180,NaN,NaN,100,2,PS,1.4,280,NaN,NaN,Ambient,Glass,6FDA-DABC,77,NaN,NaN,Au,1000,50,0.354,Untreated,Spin-Coating,3000,60,NaN,NaN,NaN,NaN,NaN,100,1,Ambient,Ambient,BGTC,Linear,NaN,0.02,NaN,NaN,NaN,-0.54,NaN,1.73E+04,Ambient,0.15,-0.5,-5,1,NaN,NaN,-5,0
71,2015,10.1039/c5tc02133b ,350,125,2.8,CHCL3,61.2,C6H4Cl2,180,93,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,Si3N4,400,PMMA,150,Au,NaN,NaN,NaN,Untreated,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BGTC,Saturation,100,2.00E+00,NaN,1,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,100,-100,0,NaN,NaN
72,2015,10.1039/c5tc02133b ,350,125,2.8,CHCL3,61.2,NaN,NaN,100,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,Si3N4,400,PMMA,150,Au,NaN,NaN,NaN,Untreated,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BGTC,Saturation,100,1.00E+00,NaN,0.35,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,100,-100,0,NaN,NaN
73,2015,10.1039/c5tc02133b ,50,20,2.5,CHCL3,61.2,C6H4Cl2,180,93,4,NaN,NaN,NaN,NaN,100,Ambient,N-Doped Si,Si3N4,400,PMMA,150,Au,NaN,NaN,NaN,Untreated,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BGTC,Saturation,100,1.00E-01,NaN,1.00E-02,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,100,-100,0,NaN,NaN
74,2015,10.1039/c5tc02133b ,350,125,2.8,CHCL3,61.2,C6H4Cl2,180,93,4,PC70BM,NaN,NaN,NaN,25,Ambient,N-Doped Si,Si3N4,400,PMMA,150,Au,NaN,NaN,NaN,Untreated,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BGTC,Saturation,NaN,1.00E-01,NaN,0,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,100,-100,0,NaN,NaN
75,2015,10.1039/c5tc02133b ,50,20,2.5,CHCL3,61.2,C6H4Cl2,180,93,4,PC70BM,NaN,NaN,NaN,25,Ambient,N-Doped Si,Si3N4,400,PMMA,150,Au,NaN,NaN,NaN,Untreated,Spin-Coating,1000,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,BGTC,Saturation,NaN,1.00E-02,NaN,0,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,100,-100,0,NaN,NaN
76,2013,10.1039/c3nr03989g ,NaN,106,NaN,NaN,NaN,NaN,NaN,NaN,10,PCBM,NaN,NaN,NaN,100,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,15000,10,10.5,OTS-18,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135,0.5,Nitrogen,Ambient,BGBC,Saturation,NaN,1.40E-01,NaN,0.06,NaN,NaN,NaN,1.00E+05,NaN,NaN,-40,-20,40,NaN,NaN,NaN,NaN
77,2013,10.1039/c3nr03989g ,NaN,106,NaN,NaN,NaN,NaN,NaN,NaN,10,PCBM,NaN,NaN,NaN,50,Ambient,N-Doped Si,SiO2,300,NaN,NaN,Au,15000,10,10.5,OTS-18,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,135,0.5,Nitrogen,Ambient,BGBC,Saturation,NaN,3.00E-01,NaN,8.00E-06,NaN,NaN,NaN,1.00E+05,NaN,NaN,-40,-20,40,NaN,NaN,NaN,NaN
78,2018,10.1021/acsami.8b03288 ,NaN,NaN,NaN,CHCL3,61.2,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Ambient,Glass,PVP,430,NaN,NaN,Au,1000,50,8.5,Untreated,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,1,Nitrogen,Ambient,BGTC,Saturation,NaN,1.00E-01,NaN,0,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,20,-50,-10,-60,0
79,2018,10.1021/acsami.8b03288 ,NaN,NaN,NaN,CHCL3,61.2,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Ambient,Glass,Shellac,320,NaN,NaN,Au,1000,50,9.36,Untreated,Spin-Coating,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200,1,Nitrogen,Ambient,BGTC,Saturation,NaN,8.40E-02,NaN,0.24,NaN,NaN,NaN,NaN,Nitrogen,NaN,-60,-60,60,-80,-20,-60,0
80,2017,10.1021/acsami.7b08133 ,104,20,5.2,CHCL3,61.2,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,25,NaN,NaN,NaN,BGTC,Saturation,33.5,1.00E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
81,2017,10.1021/acsami.7b08133 ,104,20,5.2,CHCL3,61.2,NaN,NaN,100,7,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,25,NaN,NaN,NaN,BGTC,Saturation,46.9,1.70E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
82,2017,10.1021/acsami.7b08133 ,104,20,5.2,CHCL3,61.2,NaN,NaN,100,8.5,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,25,NaN,NaN,NaN,BGTC,Saturation,56.95,1.50E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
83,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,10,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,25,NaN,NaN,NaN,BGTC,Saturation,67,2.80E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
84,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,12,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,25,NaN,NaN,NaN,BGTC,Saturation,80.4,2.00E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
85,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,14,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,25,NaN,NaN,NaN,BGTC,Saturation,93.8,2.90E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
86,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,16,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,25,NaN,NaN,NaN,BGTC,Saturation,107.2,3.25E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
87,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,18,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,25,NaN,NaN,NaN,BGTC,Saturation,120.6,3.60E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
88,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,25,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Parallel,25,25,NaN,NaN,NaN,BGTC,Saturation,167.5,4.00E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
89,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,5,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,25,NaN,NaN,NaN,BGTC,Saturation,33.5,1.80E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
90,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,7,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,25,NaN,NaN,NaN,BGTC,Saturation,46.9,2.80E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
91,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,8.5,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,25,NaN,NaN,NaN,BGTC,Saturation,56.95,2.30E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
92,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,10,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,25,NaN,NaN,NaN,BGTC,Saturation,67,3.15E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
93,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,12,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,25,NaN,NaN,NaN,BGTC,Saturation,80.4,1.80E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
94,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,14,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,25,NaN,NaN,NaN,BGTC,Saturation,93.8,2.80E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
95,2017,10.1021/acsami.7b08133,104,20,5.2,CHCL3,61.2,NaN,NaN,100,16,NaN,NaN,NaN,NaN,100,Nitrogen,N-Doped Si,SiO2,300,NaN,NaN,Au,4500,70,11,OTS-18,Blade-Coating,NaN,NaN,0.5,100,7,Perpendicular,25,25,NaN,NaN,NaN,BGTC,Saturation,107.2,3.00E-01,NaN,NaN,NaN,NaN,NaN,NaN,Nitrogen,NaN,-100,-100,-10,-100,-30,-100,0
